DATA_OBITO,OUTRAS,COVID - MS,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-03-28,21,0,0,2,4,4,0
2019-03-29,14,0,0,3,9,4,0
2019-03-30,24,0,0,3,9,3,0
2019-03-31,22,0,0,4,9,5,0
2019-04-01,21,0,0,5,10,3,0
2019-04-02,25,0,0,2,9,5,1
2019-04-03,22,0,1,7,9,4,0
2019-04-04,19,0,0,1,7,4,0
2019-04-05,17,0,1,5,3,3,0
2019-04-06,20,0,0,5,7,8,0
2019-04-07,18,0,1,4,10,9,0
2019-04-08,20,0,0,3,15,4,0
2019-04-09,23,0,0,2,15,1,1
2019-04-10,20,0,0,3,17,3,1
2019-04-11,15,0,1,3,9,3,1
2019-04-12,24,0,0,6,9,7,0
2019-04-13,18,0,0,2,2,8,0
2019-04-14,18,0,0,9,11,4,0
2019-04-15,16,0,0,3,11,6,0
2019-04-16,19,0,0,3,12,0,0
2019-04-17,14,0,0,0,14,5,0
2019-04-18,19,0,0,4,11,5,0
2019-04-19,24,0,0,5,8,3,0
2019-04-20,18,0,1,5,7,6,0
2019-04-21,21,0,0,3,11,6,0
2019-04-22,19,0,0,1,9,5,0
2019-04-23,19,0,0,6,8,3,0
2019-04-24,16,0,0,2,6,7,0
2019-04-25,21,0,0,5,10,7,0
2019-04-26,18,0,0,2,13,2,0
2019-04-27,19,0,1,7,7,4,0
2019-04-28,16,0,0,2,9,8,0
2019-04-29,28,0,0,3,13,8,0
2019-04-30,20,0,0,4,12,5,0
2019-05-01,28,0,0,5,8,5,0
2019-05-02,24,0,1,1,18,5,1
2019-05-03,21,0,1,6,9,2,0
2019-05-04,17,0,1,4,7,2,0
2019-05-05,21,0,2,1,8,3,1
2019-05-06,23,0,0,2,12,2,0
2019-05-07,15,0,0,3,14,5,0
2019-05-08,16,0,0,7,6,4,0
2019-05-09,19,0,1,8,14,0,0
2019-05-10,27,0,0,4,16,5,0
2019-05-11,21,0,1,3,7,5,0
2019-05-12,19,0,0,1,7,4,0
2019-05-13,25,0,0,6,6,3,0
2019-05-14,21,0,0,3,9,2,0
2019-05-15,24,0,1,4,11,7,0
2019-05-16,24,0,1,2,6,5,0
2019-05-17,23,0,0,5,7,6,0
2019-05-18,20,0,0,4,13,4,0
2019-05-19,30,0,1,6,11,6,0
2019-05-20,28,0,0,4,14,5,0
2019-05-21,23,0,0,3,14,6,0
2019-05-22,21,0,1,2,11,2,0
2019-05-23,22,0,0,3,6,6,0
2019-05-24,28,0,0,4,14,2,0
2019-05-25,31,0,0,5,12,5,0
2019-05-26,20,0,0,4,14,8,0
2019-05-27,26,0,2,6,8,6,0
2019-05-28,28,0,0,5,7,8,1
2019-05-29,33,0,1,4,8,8,1
2019-05-30,21,0,1,4,15,7,1
2019-05-31,19,0,0,11,11,7,0
2019-06-01,24,0,0,1,12,4,0
2019-06-02,20,0,0,3,9,4,0
2019-06-03,26,0,0,4,15,4,0
2019-06-04,28,0,0,4,12,3,0
2019-06-05,26,0,0,1,18,6,0
2019-06-06,29,0,1,4,12,8,0
2019-06-07,31,0,0,5,12,5,0
2019-06-08,29,0,2,3,12,3,0
2019-06-09,21,0,0,4,20,6,0
2019-06-10,27,0,1,6,9,3,0
2019-06-11,31,0,0,2,15,10,0
2019-06-12,33,0,1,5,15,5,0
2019-06-13,24,0,0,1,10,3,0
2019-06-14,23,0,0,1,12,5,1
2019-06-15,15,0,0,3,10,10,0
2019-06-16,15,0,0,1,16,4,0
2019-06-17,28,0,0,4,13,6,0
2019-06-18,27,0,0,8,9,6,1
2019-06-19,26,0,0,4,13,6,1
2019-06-20,34,0,0,5,12,6,0
2019-06-21,27,0,0,3,13,5,0
2019-06-22,17,0,0,4,15,7,0
2019-06-23,21,0,1,8,9,0,0
2019-06-24,26,0,1,4,7,5,0
2019-06-25,17,0,0,2,11,5,1
2019-06-26,28,0,0,3,10,3,0
2019-06-27,27,0,0,7,9,2,1
2019-06-28,23,0,0,5,12,2,0
2019-06-29,21,0,0,4,12,7,0
2019-06-30,29,0,0,7,17,7,0
2019-07-01,25,0,0,9,10,7,0
2019-07-02,31,0,1,3,7,4,1
2019-07-03,36,0,0,6,11,10,0
2019-07-04,29,0,0,2,12,8,0
2019-07-05,19,0,0,4,10,2,0
2019-07-06,26,0,0,5,14,6,0
2019-07-07,22,0,1,4,14,3,0
2019-07-08,26,0,0,7,17,10,0
2019-07-09,25,0,1,2,13,6,0
2019-07-10,29,0,2,4,12,5,0
2019-07-11,22,0,0,5,8,6,0
2019-07-12,26,0,0,5,10,6,1
2019-07-13,24,0,1,2,15,2,2
2019-07-14,21,0,0,4,11,3,0
2019-07-15,20,0,0,4,9,8,0
2019-07-16,24,0,0,4,7,6,1
2019-07-17,31,0,0,7,11,7,0
2019-07-18,26,0,1,3,9,4,0
2019-07-19,22,0,0,3,12,8,0
2019-07-20,24,0,1,5,15,7,0
2019-07-21,25,0,0,5,8,6,0
2019-07-22,25,0,0,2,11,4,0
2019-07-23,24,0,1,1,10,7,0
2019-07-24,16,0,0,3,9,4,0
2019-07-25,22,0,0,4,15,5,0
2019-07-26,26,0,0,2,10,4,1
2019-07-27,28,0,0,1,9,5,0
2019-07-28,29,0,1,7,12,8,0
2019-07-29,25,0,1,5,16,3,0
2019-07-30,17,0,0,3,16,10,0
2019-07-31,21,0,0,2,6,4,0
2019-08-01,26,0,0,4,17,5,0
2019-08-02,26,0,0,5,12,4,0
2019-08-03,22,0,0,4,12,10,0
2019-08-04,31,0,0,3,12,6,0
2019-08-05,27,0,0,1,11,4,0
