DATA_OBITO,OUTRAS,COVID - RN,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-05-26,23,0,0,2,11,10,0
2019-05-27,28,0,0,3,11,3,0
2019-05-28,21,0,0,2,13,6,1
2019-05-29,20,0,1,5,16,5,0
2019-05-30,11,0,0,2,14,8,0
2019-05-31,18,0,0,5,8,6,1
2019-06-01,23,0,0,4,10,6,0
2019-06-02,19,0,0,0,10,6,1
2019-06-03,20,0,0,0,13,6,0
2019-06-04,11,0,0,3,15,11,0
2019-06-05,19,0,0,1,8,3,0
2019-06-06,20,0,0,3,15,5,0
2019-06-07,21,0,0,4,7,5,0
2019-06-08,26,0,0,9,5,3,0
2019-06-09,18,0,0,5,14,5,0
2019-06-10,23,0,0,2,12,3,0
2019-06-11,20,0,1,2,8,13,0
2019-06-12,23,0,0,5,17,5,0
2019-06-13,22,0,0,1,17,6,0
2019-06-14,21,0,0,2,4,11,0
2019-06-15,30,0,0,6,13,8,0
2019-06-16,16,0,1,2,8,4,0
2019-06-17,29,0,0,4,9,12,0
2019-06-18,24,0,0,3,9,9,0
2019-06-19,23,0,1,4,12,5,0
2019-06-20,25,0,1,2,14,10,0
2019-06-21,26,0,1,1,8,2,0
2019-06-22,21,0,0,1,4,6,0
2019-06-23,23,0,1,3,11,7,0
2019-06-24,28,0,0,1,13,8,0
2019-06-25,24,0,1,2,11,9,0
2019-06-26,27,0,1,3,11,8,0
2019-06-27,24,0,0,1,12,9,0
2019-06-28,21,0,0,3,15,8,0
2019-06-29,25,0,0,3,9,6,0
2019-06-30,24,0,1,1,10,4,1
2019-07-01,34,0,0,4,10,7,0
2019-07-02,18,0,2,2,6,6,0
2019-07-03,23,0,0,5,9,12,0
2019-07-04,24,0,0,7,15,6,0
2019-07-05,24,0,2,8,9,13,0
2019-07-06,25,0,1,5,10,13,0
2019-07-07,29,0,0,6,10,6,0
2019-07-08,28,0,1,5,9,11,0
2019-07-09,25,0,0,2,9,8,0
2019-07-10,30,0,0,1,10,9,0
2019-07-11,31,0,1,2,10,4,0
2019-07-12,19,0,0,4,16,5,0
2019-07-13,17,0,0,2,8,10,0
2019-07-14,29,0,1,3,9,6,0
2019-07-15,23,0,0,0,11,6,0
2019-07-16,28,0,0,1,8,8,0
2019-07-17,27,0,0,3,10,5,0
2019-07-18,21,0,0,3,12,6,0
2019-07-19,31,0,0,2,10,3,0
2019-07-20,29,0,0,2,10,3,0
2019-07-21,17,0,0,3,7,8,0
2019-07-22,22,0,1,1,4,4,0
2019-07-23,27,0,0,1,15,8,0
2019-07-24,19,0,2,5,5,6,0
2019-07-25,23,0,1,3,13,8,0
2019-07-26,25,0,0,2,6,7,0
2019-07-27,27,0,0,4,11,8,0
2019-07-28,24,0,0,1,8,7,0
2019-07-29,25,0,1,5,5,5,0
2019-07-30,16,0,0,3,11,4,0
2019-07-31,26,0,1,0,6,9,0
2019-08-01,22,0,0,2,15,4,0
2019-08-02,29,0,0,0,10,7,0
2019-08-03,26,0,0,2,9,6,0
2019-08-04,20,0,0,4,12,7,0
2019-08-05,30,0,1,4,6,3,0
2019-08-06,22,0,0,1,6,6,0
2019-08-07,25,0,0,1,10,8,0
2019-08-08,23,0,0,2,13,7,0
2019-08-09,19,0,0,4,12,5,0
2019-08-10,26,0,0,6,8,4,0
2019-08-11,19,0,0,3,9,10,0
2019-08-12,15,0,0,1,6,6,0
2019-08-13,25,0,0,2,9,9,0
2019-08-14,23,0,0,0,9,7,0
2019-08-15,16,0,0,4,12,6,0
2019-08-16,17,0,0,4,7,5,0
2019-08-17,22,0,0,7,8,4,0
2019-08-18,19,0,0,3,6,7,0
2019-08-19,24,0,1,3,13,15,0
2019-08-20,22,0,0,1,11,9,0
2019-08-21,22,0,0,3,5,5,0
2019-08-22,19,0,1,2,9,12,0
2019-08-23,21,0,1,3,13,6,0
2019-08-24,27,0,0,1,8,7,0
2019-08-25,20,0,1,2,2,5,0
2019-08-26,25,0,0,1,6,9,0
2019-08-27,29,0,1,7,4,3,0
2019-08-28,24,0,0,0,5,7,0
2019-08-29,23,0,0,3,12,8,0
2019-08-30,19,0,2,0,7,7,1
2019-08-31,27,0,1,0,12,5,0
2019-09-01,25,0,0,0,10,10,0
2019-09-02,28,0,0,2,11,8,0
2019-09-03,30,0,0,0,4,9,0
2019-09-04,24,0,0,3,6,8,0
2019-09-05,8,0,0,3,8,6,0
2019-09-06,27,0,1,4,7,4,1
2019-09-07,23,0,0,3,10,5,0
2019-09-08,24,0,0,2,11,8,0
2019-09-09,21,0,0,4,11,10,0
2019-09-10,27,0,0,3,9,3,0
2019-09-11,22,0,1,3,13,7,0
2019-09-12,17,0,1,1,8,8,0
2019-09-13,28,0,1,4,6,7,0
2019-09-14,18,0,0,0,4,6,0
2019-09-15,22,0,0,2,13,4,0
2019-09-16,22,0,0,2,7,4,0
2019-09-17,17,0,0,2,8,5,0
2019-09-18,26,0,0,4,10,3,0
2019-09-19,15,0,0,2,7,8,0
2019-09-20,24,0,0,2,12,5,0
2019-09-21,23,0,0,4,6,5,0
2019-09-22,30,0,1,4,6,6,0
2019-09-23,26,0,0,3,10,9,0
2019-09-24,16,0,0,3,6,6,0
2019-09-25,20,0,0,5,6,7,0
2019-09-26,26,0,1,3,6,7,0
2019-09-27,24,0,0,2,5,8,0
2019-09-28,14,0,0,2,17,12,0
2019-09-29,19,0,0,1,9,9,0
2019-09-30,27,0,0,3,10,5,0
2019-10-01,27,0,1,2,10,6,0
2019-10-02,27,0,0,2,7,4,0
2019-10-03,25,0,0,4,10,5,0
2019-10-04,21,0,1,3,8,8,0
2019-10-05,24,0,1,1,10,4,0
2019-10-06,22,0,0,4,7,4,0
2019-10-07,20,0,1,1,9,4,0
2019-10-08,18,0,0,0,7,6,0
2019-10-09,20,0,0,2,6,9,0
2019-10-10,24,0,2,3,6,4,0
