DATA_OBITO,OUTRAS,COVID - PR,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-11-17,96,0,2,17,24,26,0
2018-11-18,103,0,0,22,31,20,0
2018-11-19,78,0,3,15,25,26,0
2018-11-20,77,0,0,8,36,26,1
2018-11-21,95,0,0,16,30,20,0
2018-11-22,102,0,2,11,32,25,0
2018-11-23,108,0,1,12,29,33,1
2018-11-24,86,0,1,13,28,23,1
2018-11-25,100,0,1,17,25,32,1
2018-11-26,92,0,2,13,34,19,0
2018-11-27,93,0,0,15,32,24,0
2018-11-28,101,0,0,14,27,25,0
2018-11-29,84,0,1,15,26,17,0
2018-11-30,114,0,0,12,33,39,0
2018-12-01,111,0,1,15,36,23,0
2018-12-02,87,0,1,8,28,25,0
2018-12-03,88,0,2,10,25,24,0
2018-12-04,80,0,2,9,26,16,0
2018-12-05,109,0,0,17,34,12,1
2018-12-06,98,0,0,13,29,19,0
2018-12-07,95,0,1,18,21,16,0
2018-12-08,104,0,0,18,34,20,0
2018-12-09,100,0,0,11,20,18,0
2018-12-10,97,0,1,15,30,19,0
2018-12-11,97,0,0,11,31,30,0
2018-12-12,102,0,1,13,29,30,0
2018-12-13,129,0,0,12,25,31,0
2018-12-14,92,0,1,11,30,23,1
2018-12-15,116,0,0,21,37,22,0
2018-12-16,113,0,1,21,29,33,1
2018-12-17,96,0,1,10,38,24,0
2018-12-18,110,0,0,16,31,41,0
2018-12-19,107,0,1,14,32,31,0
2018-12-20,87,0,1,10,29,26,1
2018-12-21,89,0,2,14,32,28,1
2018-12-22,111,0,2,11,19,16,0
2018-12-23,111,0,1,15,28,17,2
2018-12-24,73,0,0,6,25,23,0
2018-12-25,102,0,1,14,32,29,1
2018-12-26,90,0,0,12,28,23,0
2018-12-27,103,0,0,15,36,20,1
2018-12-28,94,0,3,16,27,23,0
2018-12-29,98,0,0,11,24,36,0
2018-12-30,86,0,1,19,27,25,0
2018-12-31,111,0,1,15,25,23,0
2019-01-01,96,0,1,7,30,22,0
2019-01-02,105,0,1,8,24,33,0
2019-01-03,103,0,0,15,42,23,1
2019-01-04,91,0,0,12,25,35,0
2019-01-05,79,0,2,14,32,19,0
2019-01-06,79,0,1,9,22,25,0
2019-01-07,103,0,1,17,33,37,0
2019-01-08,95,0,0,7,24,33,0
2019-01-09,83,0,0,14,24,23,0
2019-01-10,101,0,1,13,28,28,0
2019-01-11,94,0,0,17,24,19,1
2019-01-12,85,0,1,15,20,26,1
2019-01-13,86,0,1,9,21,28,0
2019-01-14,108,0,2,16,32,29,0
2019-01-15,122,0,1,12,27,32,0
2019-01-16,95,0,1,11,25,23,0
2019-01-17,104,0,3,11,29,24,0
2019-01-18,100,0,0,7,28,16,0
2019-01-19,98,0,1,19,26,25,0
2019-01-20,91,0,1,11,35,29,0
2019-01-21,108,0,2,11,26,28,0
2019-01-22,83,0,1,16,26,19,0
2019-01-23,106,0,1,14,26,29,2
2019-01-24,110,0,2,15,23,26,0
2019-01-25,104,0,0,11,28,22,0
2019-01-26,96,0,2,12,18,24,0
2019-01-27,101,0,2,11,28,20,0
2019-01-28,91,0,0,12,22,30,0
2019-01-29,91,0,0,12,32,32,0
2019-01-30,95,0,0,8,35,30,0
2019-01-31,96,0,1,7,40,21,0
2019-02-01,86,0,2,22,35,23,0
2019-02-02,99,0,1,22,33,36,0
2019-02-03,104,0,1,11,47,25,0
2019-02-04,79,0,0,12,19,27,0
2019-02-05,84,0,0,11,24,19,0
2019-02-06,87,0,2,14,34,28,0
2019-02-07,101,0,0,7,33,24,2
2019-02-08,92,0,1,15,30,32,0
2019-02-09,88,0,1,7,22,21,1
2019-02-10,106,0,1,9,30,35,0
2019-02-11,106,0,0,17,30,22,1
2019-02-12,80,0,1,8,33,18,0
2019-02-13,88,0,1,9,25,21,0
2019-02-14,101,0,1,13,43,27,0
2019-02-15,88,0,0,18,33,25,0
2019-02-16,84,0,0,8,25,26,0
2019-02-17,89,0,2,11,27,22,0
2019-02-18,89,0,0,9,21,16,0
2019-02-19,91,0,0,10,32,23,0
2019-02-20,69,0,0,15,31,12,0
2019-02-21,102,0,0,13,27,28,0
2019-02-22,93,0,0,14,21,25,0
2019-02-23,93,0,2,11,31,28,1
2019-02-24,79,0,1,8,32,25,0
2019-02-25,72,0,0,16,20,26,0
2019-02-26,102,0,0,7,26,22,0
2019-02-27,93,0,2,12,35,21,0
2019-02-28,101,0,0,13,24,14,0
2019-03-01,96,0,1,14,19,22,2
2019-03-02,112,0,0,15,31,18,1
2019-03-03,98,0,0,8,21,33,0
2019-03-04,102,0,0,16,23,23,1
2019-03-05,125,0,0,7,39,29,0
2019-03-06,90,0,0,9,23,25,0
2019-03-07,93,0,1,10,35,26,0
2019-03-08,91,0,3,16,27,32,1
2019-03-09,78,0,1,12,23,40,0
2019-03-10,108,0,0,14,29,27,1
2019-03-11,90,0,0,20,25,30,0
2019-03-12,79,0,0,13,39,26,0
2019-03-13,97,0,0,12,30,26,2
2019-03-14,96,0,1,13,31,18,1
2019-03-15,118,0,0,14,33,21,1
2019-03-16,99,0,0,15,34,27,0
2019-03-17,80,0,0,13,31,19,0
2019-03-18,91,0,0,13,23,16,0
2019-03-19,82,0,3,11,29,30,0
2019-03-20,99,0,2,15,27,25,0
2019-03-21,83,0,0,14,22,26,1
2019-03-22,104,0,1,15,43,22,0
2019-03-23,91,0,0,8,26,15,2
2019-03-24,105,0,1,8,22,17,0
2019-03-25,93,0,1,11,31,25,0
2019-03-26,94,0,1,14,19,28,0
2019-03-27,87,0,0,14,28,31,0
2019-03-28,83,0,1,9,28,22,0
2019-03-29,75,0,2,14,29,29,0
2019-03-30,92,0,1,27,36,32,0
2019-03-31,86,0,1,13,32,16,0
2019-04-01,107,0,0,16,22,19,1
2019-04-02,98,0,1,16,23,29,0
2019-04-03,100,0,0,8,28,35,1
2019-04-04,131,0,0,17,25,16,1
2019-04-05,90,0,1,17,34,24,0
2019-04-06,100,0,2,16,26,28,0
2019-04-07,108,0,2,18,32,23,0
2019-04-08,113,0,0,12,21,24,0
2019-04-09,112,0,3,21,42,10,0
2019-04-10,95,0,0,11,31,20,1
2019-04-11,99,0,1,17,21,27,0
2019-04-12,88,0,1,16,30,26,1
2019-04-13,106,0,0,10,37,33,0
2019-04-14,109,0,2,14,34,25,2
2019-04-15,103,0,0,11,33,25,0
2019-04-16,96,0,1,13,31,24,0
2019-04-17,71,0,1,16,32,24,0
2019-04-18,97,0,0,9,36,19,0
2019-04-19,105,0,0,16,28,17,0
2019-04-20,91,0,1,17,37,18,0
2019-04-21,104,0,0,17,26,15,0
2019-04-22,115,0,1,13,22,20,0
2019-04-23,98,0,2,8,27,28,0
2019-04-24,94,0,1,8,17,17,0
2019-04-25,96,0,2,8,25,28,0
2019-04-26,94,0,2,13,26,19,0
2019-04-27,101,0,1,18,35,27,0
2019-04-28,110,0,2,18,27,25,0
2019-04-29,101,0,3,7,35,23,1
2019-04-30,97,0,1,13,37,24,0
2019-05-01,104,0,0,14,28,20,1
2019-05-02,107,0,2,14,47,21,0
2019-05-03,108,0,0,19,27,29,0
2019-05-04,107,0,0,15,34,32,1
2019-05-05,94,0,0,16,38,24,0
2019-05-06,85,0,1,13,36,22,1
2019-05-07,85,0,2,10,42,29,1
2019-05-08,103,0,0,14,31,13,0
2019-05-09,94,0,0,15,31,20,0
2019-05-10,94,0,2,9,40,29,0
2019-05-11,104,0,1,18,36,33,0
2019-05-12,109,0,0,11,37,29,0
2019-05-13,96,0,0,12,28,25,1
2019-05-14,101,0,3,13,37,33,0
2019-05-15,123,0,0,12,40,25,0
2019-05-16,125,0,0,14,31,21,0
2019-05-17,101,0,0,15,33,28,0
2019-05-18,109,0,1,14,25,25,0
2019-05-19,110,0,1,14,35,29,2
2019-05-20,120,0,1,20,39,17,0
2019-05-21,112,0,2,14,28,36,0
2019-05-22,139,0,2,13,40,16,1
2019-05-23,118,0,1,11,45,19,1
2019-05-24,121,0,1,24,26,21,0
2019-05-25,126,0,1,13,48,23,0
2019-05-26,101,0,1,17,34,36,1
2019-05-27,119,0,1,15,44,14,0
2019-05-28,103,0,0,12,35,27,1
2019-05-29,124,0,1,11,38,35,0
2019-05-30,122,0,0,14,31,35,1
2019-05-31,110,0,3,9,47,34,0
2019-06-01,105,0,2,13,32,32,1
2019-06-02,113,0,2,13,41,20,0
2019-06-03,118,0,2,8,34,19,0
2019-06-04,83,0,1,11,35,23,1
2019-06-05,127,0,1,13,42,26,0
2019-06-06,94,0,0,8,34,28,0
2019-06-07,111,0,1,18,37,34,0
2019-06-08,118,0,1,7,32,28,1
2019-06-09,130,0,2,25,31,20,0
2019-06-10,118,0,0,15,52,25,1
2019-06-11,114,0,2,17,41,25,0
2019-06-12,108,0,1,18,45,36,0
2019-06-13,114,0,0,14,45,31,2
2019-06-14,123,0,1,20,50,33,0
2019-06-15,112,0,0,14,42,19,1
2019-06-16,92,0,2,12,39,27,1
2019-06-17,115,0,2,11,43,31,1
2019-06-18,90,0,0,15,32,35,0
2019-06-19,89,0,1,15,40,21,1
2019-06-20,113,0,2,14,45,32,2
2019-06-21,122,0,0,7,45,33,1
2019-06-22,110,0,2,13,48,29,0
2019-06-23,121,0,0,18,40,26,1
2019-06-24,110,0,1,18,30,32,2
2019-06-25,109,0,1,22,35,26,1
2019-06-26,108,0,3,11,38,21,0
2019-06-27,133,0,2,16,48,25,0
2019-06-28,113,0,0,23,34,29,1
2019-06-29,113,0,1,22,48,25,0
2019-06-30,138,0,0,17,44,30,0
2019-07-01,101,0,2,16,41,21,0
2019-07-02,105,0,3,10,40,24,2
2019-07-03,106,0,0,10,46,25,0
2019-07-04,101,0,2,18,44,33,1
2019-07-05,97,0,2,14,47,22,0
