DATA_OBITO,OUTRAS,COVID - DF,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-03-17,18,0,1,1,10,7,0
2019-03-18,24,0,0,1,7,8,0
2019-03-19,18,0,0,4,16,7,0
2019-03-20,15,0,0,3,12,6,0
2019-03-21,24,0,0,3,5,4,0
2019-03-22,19,0,0,1,7,5,0
2019-03-23,15,0,0,2,4,8,0
2019-03-24,23,0,0,3,7,4,2
2019-03-25,24,0,0,1,10,5,0
2019-03-26,22,0,0,4,8,5,0
2019-03-27,30,0,1,0,6,9,0
2019-03-28,13,0,0,3,6,7,0
2019-03-29,20,0,0,2,6,4,0
2019-03-30,23,0,0,2,4,2,0
2019-03-31,18,0,1,3,8,8,0
2019-04-01,25,0,1,3,8,9,0
2019-04-02,16,0,0,1,10,12,0
2019-04-03,20,0,0,4,5,4,0
2019-04-04,18,0,0,5,11,5,0
2019-04-05,23,0,0,3,7,5,0
2019-04-06,20,0,1,2,13,5,0
2019-04-07,22,0,0,3,10,4,0
2019-04-08,24,0,1,0,5,10,0
2019-04-09,20,0,1,2,4,4,0
2019-04-10,25,0,0,3,6,4,0
2019-04-11,20,0,0,1,11,4,1
2019-04-12,24,0,0,2,4,3,1
2019-04-13,23,0,0,6,12,7,0
2019-04-14,17,0,0,2,12,9,0
2019-04-15,21,0,0,0,6,9,0
2019-04-16,13,0,0,2,8,7,0
2019-04-17,11,0,0,3,7,7,0
2019-04-18,20,0,0,0,12,3,0
2019-04-19,19,0,0,7,10,6,0
2019-04-20,12,0,0,2,10,10,0
2019-04-21,19,0,0,2,7,10,0
2019-04-22,23,0,0,4,9,11,0
2019-04-23,15,0,0,3,7,4,0
2019-04-24,20,0,1,6,7,13,0
2019-04-25,25,0,1,5,9,4,0
2019-04-26,17,0,0,0,12,9,0
2019-04-27,28,0,0,4,13,10,0
2019-04-28,22,0,1,1,13,4,0
2019-04-29,27,0,0,4,6,9,0
2019-04-30,11,0,0,2,7,15,0
2019-05-01,19,0,0,8,12,5,0
2019-05-02,24,0,0,6,7,7,0
2019-05-03,16,0,0,3,12,12,0
2019-05-04,11,0,0,2,9,9,1
2019-05-05,12,0,0,2,9,3,0
2019-05-06,13,0,0,3,9,6,1
2019-05-07,17,0,0,3,5,1,0
2019-05-08,23,0,0,7,11,10,1
2019-05-09,12,0,0,2,16,8,0
