DATA_OBITO,OUTRAS,COVID - PE,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-06-26,92,0,0,15,26,35,0
2019-06-27,96,0,0,9,22,46,0
2019-06-28,85,0,0,15,27,40,0
2019-06-29,95,0,1,20,17,44,0
2019-06-30,82,0,0,9,20,38,0
2019-07-01,94,0,2,19,30,37,0
2019-07-02,78,0,0,13,27,35,0
2019-07-03,107,0,2,21,26,36,0
2019-07-04,112,0,3,12,32,45,0
2019-07-05,113,0,1,15,28,48,0
2019-07-06,96,0,0,10,26,46,0
2019-07-07,94,0,0,18,30,46,0
2019-07-08,77,0,0,24,26,40,0
2019-07-09,75,0,0,11,28,38,0
2019-07-10,86,0,2,18,11,47,1
2019-07-11,93,0,1,13,25,39,0
2019-07-12,80,0,0,12,26,38,0
2019-07-13,76,0,0,15,21,39,0
2019-07-14,94,0,2,7,31,46,0
2019-07-15,85,0,2,16,23,45,0
2019-07-16,88,0,1,15,24,39,0
2019-07-17,91,0,1,6,31,31,0
2019-07-18,85,0,0,8,27,48,0
2019-07-19,90,0,0,13,15,35,0
2019-07-20,91,0,1,6,19,57,0
2019-07-21,80,0,1,13,19,41,0
2019-07-22,89,0,0,14,28,27,0
2019-07-23,100,0,0,16,20,43,0
2019-07-24,87,0,2,15,42,34,0
2019-07-25,71,0,2,10,23,42,0
2019-07-26,89,0,1,9,23,54,0
2019-07-27,92,0,0,12,26,48,0
2019-07-28,85,0,4,13,25,33,0
2019-07-29,84,0,0,13,20,36,1
2019-07-30,90,0,0,9,27,42,1
2019-07-31,82,0,0,17,18,51,0
2019-08-01,81,0,1,11,24,42,0
2019-08-02,100,0,1,13,15,45,0
2019-08-03,94,0,2,11,19,31,0
2019-08-04,88,0,0,16,21,42,0
2019-08-05,88,0,0,16,22,37,0
2019-08-06,105,0,0,14,20,34,0
2019-08-07,94,0,3,8,23,35,0
2019-08-08,83,0,0,20,33,30,0
2019-08-09,76,0,1,14,24,43,0
2019-08-10,100,0,0,18,19,41,0
2019-08-11,83,0,0,15,29,36,0
2019-08-12,82,0,0,18,27,33,0
2019-08-13,82,0,3,13,21,52,0
2019-08-14,90,0,1,15,16,29,0
2019-08-15,86,0,1,9,19,52,0
2019-08-16,81,0,0,11,22,44,0
2019-08-17,94,0,1,16,25,35,0
2019-08-18,90,0,0,10,29,33,0
2019-08-19,103,0,0,13,33,46,0
2019-08-20,95,0,3,17,26,33,0
2019-08-21,69,0,1,13,17,26,0
2019-08-22,81,0,1,15,21,41,1
2019-08-23,80,0,2,17,27,32,0
2019-08-24,97,0,3,17,31,33,0
2019-08-25,87,0,2,10,27,39,0
2019-08-26,107,0,0,14,21,31,0
2019-08-27,89,0,0,14,18,32,0
2019-08-28,79,0,0,11,26,36,0
2019-08-29,87,0,1,10,20,33,0
2019-08-30,80,0,0,8,17,24,0
2019-08-31,82,0,0,20,29,41,0
2019-09-01,104,0,3,9,31,44,0
2019-09-02,91,0,0,7,17,39,0
2019-09-03,71,0,0,12,18,38,0
2019-09-04,79,0,0,12,15,46,0
2019-09-05,108,0,1,13,16,47,0
2019-09-06,99,0,2,17,13,39,1
2019-09-07,96,0,0,17,18,47,0
2019-09-08,87,0,0,14,24,34,0
2019-09-09,96,0,0,12,19,36,0
2019-09-10,86,0,1,20,20,40,0
2019-09-11,79,0,1,17,19,31,0
2019-09-12,91,0,1,10,20,36,0
2019-09-13,94,0,0,17,20,34,1
2019-09-14,83,0,0,17,34,38,0
2019-09-15,95,0,1,6,24,35,0
2019-09-16,76,0,2,10,22,32,1
2019-09-17,77,0,1,22,17,44,0
2019-09-18,99,0,3,15,15,45,0
2019-09-19,69,0,1,22,23,51,0
2019-09-20,80,0,1,17,23,36,0
2019-09-21,91,0,1,15,35,37,0
2019-09-22,80,0,0,21,23,30,0
2019-09-23,85,0,1,15,15,42,0
2019-09-24,94,0,1,17,18,30,0
2019-09-25,77,0,1,11,15,39,0
2019-09-26,92,0,1,10,17,36,0
2019-09-27,92,0,0,21,17,38,0
2019-09-28,83,0,0,10,21,23,0
2019-09-29,102,0,0,9,14,45,0
2019-09-30,97,0,0,17,23,38,0
2019-10-01,71,0,0,15,20,29,0
2019-10-02,82,0,0,13,19,33,0
2019-10-03,94,0,1,16,13,41,0
2019-10-04,91,0,0,19,27,31,0
2019-10-05,87,0,1,16,29,35,0
2019-10-06,87,0,1,18,21,30,0
2019-10-07,76,0,2,13,22,35,0
2019-10-08,70,0,2,15,19,41,0
2019-10-09,78,0,1,13,19,33,0
2019-10-10,86,0,2,16,28,37,0
