DATA_OBITO,OUTRAS,COVID - SP,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-03-14,436,0,9,61,184,107,0
2019-03-15,444,0,6,68,210,116,3
2019-03-16,441,0,2,81,188,119,0
2019-03-17,418,0,2,68,171,119,0
2019-03-18,451,0,2,83,177,120,1
2019-03-19,424,0,4,70,205,115,1
2019-03-20,417,0,1,71,179,120,0
2019-03-21,376,0,8,55,197,110,1
2019-03-22,410,0,4,69,202,124,1
2019-03-23,455,0,5,66,194,113,2
2019-03-24,412,0,2,53,177,110,1
2019-03-25,405,0,8,65,186,109,0
2019-03-26,447,0,4,67,186,132,2
2019-03-27,415,0,5,60,181,126,1
2019-03-28,401,0,4,73,169,121,0
2019-03-29,423,0,4,73,172,116,1
2019-03-30,407,0,4,53,173,121,3
2019-03-31,419,0,2,75,172,124,2
2019-04-01,405,0,2,65,172,91,0
2019-04-02,420,0,2,65,207,109,3
2019-04-03,458,0,1,66,169,103,2
2019-04-04,423,0,11,64,193,114,1
2019-04-05,446,0,4,72,163,132,0
2019-04-06,419,0,3,62,185,121,0
2019-04-07,383,0,1,67,185,137,1
2019-04-08,447,0,2,87,176,122,0
2019-04-09,348,0,5,67,211,128,0
2019-04-10,449,0,3,58,181,104,1
2019-04-11,399,0,3,84,165,112,1
2019-04-12,436,0,1,66,207,127,2
2019-04-13,464,0,5,65,194,101,0
2019-04-14,385,0,0,82,192,104,1
2019-04-15,396,0,1,59,177,105,0
2019-04-16,428,0,4,74,201,124,0
2019-04-17,387,0,5,59,191,99,0
2019-04-18,410,0,0,73,187,122,0
2019-04-19,441,0,0,74,180,100,3
2019-04-20,438,0,3,69,182,114,1
2019-04-21,446,0,3,71,191,134,3
2019-04-22,450,0,7,64,179,135,1
2019-04-23,433,0,3,81,188,115,0
2019-04-24,463,0,4,59,213,123,0
2019-04-25,458,0,5,63,198,130,2
2019-04-26,416,0,1,69,194,93,0
2019-04-27,381,0,3,62,199,118,2
2019-04-28,464,0,6,79,220,130,2
2019-04-29,471,0,3,66,190,113,3
2019-04-30,436,0,2,60,194,139,2
2019-05-01,421,0,4,61,218,114,2
2019-05-02,435,0,2,79,200,110,2
2019-05-03,422,0,2,68,181,129,0
2019-05-04,485,0,6,72,203,152,0
2019-05-05,430,0,4,71,215,126,1
2019-05-06,436,0,5,85,216,128,1
2019-05-07,447,0,3,78,220,119,1
2019-05-08,411,0,2,77,183,107,1
2019-05-09,439,0,4,64,197,96,0
2019-05-10,460,0,3,73,205,105,2
2019-05-11,444,0,4,68,185,146,0
2019-05-12,431,0,5,84,178,127,1
2019-05-13,450,0,1,75,192,123,0
2019-05-14,463,0,6,63,198,124,2
2019-05-15,455,0,2,67,184,120,3
2019-05-16,453,0,6,74,177,110,1
2019-05-17,454,0,2,78,198,111,0
2019-05-18,449,0,5,70,204,112,0
2019-05-19,449,0,5,75,185,104,2
2019-05-20,440,0,3,70,199,119,3
2019-05-21,483,0,3,78,217,117,2
2019-05-22,479,0,2,68,205,127,2
2019-05-23,443,0,3,67,197,160,1
2019-05-24,466,0,5,82,210,113,1
2019-05-25,501,0,6,77,175,123,2
2019-05-26,503,0,10,72,210,107,2
2019-05-27,497,0,2,83,210,132,2
2019-05-28,486,0,8,71,222,125,1
2019-05-29,422,0,5,87,234,134,1
2019-05-30,467,0,1,76,234,134,0
2019-05-31,468,0,1,62,223,133,1
2019-06-01,478,0,2,82,227,125,0
2019-06-02,481,0,4,84,224,132,1
2019-06-03,455,0,3,69,222,117,0
2019-06-04,492,0,3,63,235,123,2
2019-06-05,467,0,5,77,232,136,0
2019-06-06,484,0,2,64,237,121,1
2019-06-07,485,0,6,83,251,114,0
2019-06-08,481,0,3,79,242,106,0
2019-06-09,532,0,11,78,257,116,1
2019-06-10,481,0,3,92,272,128,3
2019-06-11,503,0,2,77,277,129,0
2019-06-12,496,0,2,71,272,144,1
2019-06-13,483,0,5,82,289,129,2
2019-06-14,498,0,7,84,257,123,2
2019-06-15,525,0,3,77,250,135,0
2019-06-16,512,0,1,78,267,113,0
2019-06-17,472,0,5,78,264,111,0
2019-06-18,437,0,3,94,284,115,2
2019-06-19,473,0,3,79,294,118,2
2019-06-20,459,0,3,77,255,116,0
2019-06-21,480,0,2,77,264,125,1
2019-06-22,477,0,3,86,288,137,1
2019-06-23,425,0,5,72,249,134,2
2019-06-24,461,0,4,80,243,131,1
2019-06-25,443,0,6,73,247,140,3
2019-06-26,447,0,2,87,270,116,2
2019-06-27,458,0,2,77,248,121,1
2019-06-28,487,0,7,85,282,139,0
2019-06-29,468,0,2,72,279,147,2
2019-06-30,490,0,4,88,220,102,1
2019-07-01,440,0,3,79,236,122,0
2019-07-02,465,0,4,74,249,95,2
2019-07-03,506,0,6,72,286,105,0
2019-07-04,436,0,2,83,234,125,1
2019-07-05,479,0,8,66,252,100,0
2019-07-06,478,0,8,87,242,108,0
2019-07-07,515,0,5,82,255,103,3
2019-07-08,538,0,5,75,257,109,2
2019-07-09,549,0,4,87,272,137,0
2019-07-10,512,0,6,81,260,114,0
2019-07-11,539,0,5,90,218,111,0
2019-07-12,516,0,6,66,275,130,1
2019-07-13,540,0,2,80,258,158,2
2019-07-14,510,0,2,75,267,129,2
2019-07-15,515,0,4,89,234,144,0
2019-07-16,497,0,2,70,247,144,2
2019-07-17,463,0,3,74,256,118,1
2019-07-18,469,0,8,75,247,110,0
2019-07-19,478,0,5,74,241,129,0
2019-07-20,442,0,3,77,237,126,1
2019-07-21,465,0,7,72,237,128,0
2019-07-22,475,0,6,64,274,126,0
2019-07-23,475,0,2,71,253,139,0
2019-07-24,492,0,6,82,218,142,1
2019-07-25,480,0,6,69,245,100,0
2019-07-26,504,0,4,91,226,128,1
2019-07-27,465,0,3,89,246,122,1
2019-07-28,430,0,4,92,202,121,0
2019-07-29,451,0,5,77,232,127,1
2019-07-30,436,0,4,81,221,127,3
2019-07-31,453,0,3,66,230,117,3
2019-08-01,416,0,6,75,228,112,0
2019-08-02,471,0,4,68,237,119,0
2019-08-03,454,0,1,79,235,116,0
2019-08-04,421,0,5,74,235,120,0
2019-08-05,494,0,4,76,226,120,1
2019-08-06,498,0,0,79,245,135,2
2019-08-07,479,0,4,61,241,126,1
2019-08-08,498,0,5,77,211,117,2
2019-08-09,457,0,2,73,216,119,0
2019-08-10,430,0,5,82,236,123,1
2019-08-11,478,0,3,71,206,148,2
2019-08-12,515,0,4,64,214,111,0
2019-08-13,451,0,7,89,235,117,1
2019-08-14,427,0,5,62,206,114,2
2019-08-15,444,0,3,56,160,109,0
2019-08-16,444,0,4,65,230,106,3
2019-08-17,485,0,2,73,193,114,1
2019-08-18,452,0,2,69,193,117,0
2019-08-19,441,0,1,69,212,117,1
2019-08-20,439,0,4,81,194,104,0
2019-08-21,433,0,5,59,205,111,0
2019-08-22,457,0,6,54,217,124,0
2019-08-23,420,0,7,74,208,121,0
2019-08-24,455,0,1,68,184,111,2
2019-08-25,434,0,4,71,186,119,0
2019-08-26,486,0,6,73,191,111,0
2019-08-27,466,0,6,85,208,117,2
2019-08-28,445,0,2,75,200,102,0
2019-08-29,454,0,2,82,215,99,0
