DATA_OBITO,OUTRAS,COVID - RJ,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-03-07,231,0,0,28,66,62,0
2019-03-08,199,0,0,30,58,78,0
2019-03-09,201,0,0,25,58,66,0
2019-03-10,193,0,0,21,63,81,0
2019-03-11,170,0,0,26,71,46,0
2019-03-12,207,0,0,18,63,71,0
2019-03-13,191,0,2,26,54,62,0
2019-03-14,170,0,0,29,56,75,0
2019-03-15,222,0,0,26,52,59,0
2019-03-16,163,0,0,26,57,69,0
2019-03-17,213,0,0,24,61,57,0
2019-03-18,214,0,0,27,62,62,0
2019-03-19,206,0,0,30,73,73,0
2019-03-20,182,0,0,18,53,57,0
2019-03-21,224,0,1,32,76,52,0
2019-03-22,193,0,0,28,54,54,1
2019-03-23,198,0,1,25,57,62,0
2019-03-24,180,0,1,30,64,64,1
2019-03-25,212,0,0,27,67,81,0
2019-03-26,167,0,1,30,65,67,0
2019-03-27,164,0,0,26,62,44,0
2019-03-28,178,0,1,32,49,57,0
2019-03-29,170,0,0,25,57,63,0
2019-03-30,201,0,0,24,63,54,0
2019-03-31,191,0,0,23,82,56,0
2019-04-01,200,0,0,29,73,48,0
2019-04-02,170,0,0,36,68,52,0
2019-04-03,206,0,0,26,66,66,1
2019-04-04,198,0,0,24,65,55,0
2019-04-05,202,0,0,27,73,72,0
2019-04-06,217,0,0,29,60,74,0
2019-04-07,218,0,0,24,76,67,1
2019-04-08,236,0,0,28,78,61,0
2019-04-09,194,0,0,31,55,49,0
2019-04-10,185,0,0,28,64,84,0
2019-04-11,220,0,0,19,68,67,1
2019-04-12,226,0,0,29,61,79,0
2019-04-13,222,0,0,30,77,79,0
2019-04-14,225,0,0,32,74,62,0
2019-04-15,219,0,0,26,70,75,0
2019-04-16,242,0,0,34,83,67,0
2019-04-17,211,0,0,25,67,67,0
2019-04-18,224,0,0,38,66,72,1
2019-04-19,213,0,0,26,78,66,0
2019-04-20,239,0,0,23,92,72,1
2019-04-21,203,0,0,21,71,79,0
2019-04-22,261,0,0,38,72,77,0
2019-04-23,219,0,0,23,72,66,0
2019-04-24,200,0,0,27,80,70,0
2019-04-25,200,0,2,25,77,70,0
2019-04-26,207,0,0,16,72,53,2
2019-04-27,207,0,0,19,68,70,0
2019-04-28,220,0,0,23,79,78,1
2019-04-29,227,0,0,36,82,72,1
2019-04-30,196,0,0,27,79,71,0
2019-05-01,210,0,0,23,76,61,0
2019-05-02,215,0,1,28,87,65,0
2019-05-03,214,0,0,22,91,79,0
2019-05-04,241,0,0,32,73,74,0
2019-05-05,197,0,0,26,74,80,0
2019-05-06,246,0,0,35,72,89,1
2019-05-07,228,0,0,38,61,90,1
2019-05-08,248,0,1,28,66,67,0
2019-05-09,213,0,0,30,83,59,1
2019-05-10,208,0,1,34,87,69,0
2019-05-11,215,0,1,25,92,56,3
2019-05-12,240,0,0,21,73,68,1
2019-05-13,235,0,0,23,81,66,2
2019-05-14,222,0,0,34,84,91,0
2019-05-15,230,0,0,27,75,79,0
2019-05-16,208,0,0,22,89,66,0
2019-05-17,232,0,0,32,71,83,1
2019-05-18,235,0,0,34,97,74,0
2019-05-19,237,0,0,27,86,86,0
2019-05-20,231,0,0,34,84,66,2
2019-05-21,226,0,0,32,104,70,0
2019-05-22,213,0,0,27,79,70,0
2019-05-23,234,0,0,34,73,65,0
2019-05-24,211,0,0,35,72,60,0
2019-05-25,252,0,0,29,82,73,0
2019-05-26,211,0,0,28,88,77,1
2019-05-27,243,0,0,33,89,64,1
2019-05-28,222,0,0,26,92,77,0
2019-05-29,231,0,0,31,83,75,1
2019-05-30,237,0,0,28,83,75,1
2019-05-31,231,0,0,30,89,73,0
2019-06-01,232,0,2,24,91,81,0
2019-06-02,229,0,0,24,84,83,0
2019-06-03,213,0,0,31,91,71,0
2019-06-04,221,0,0,28,76,73,0
2019-06-05,220,0,0,33,81,69,0
2019-06-06,226,0,0,29,89,66,0
2019-06-07,226,0,0,28,84,72,1
2019-06-08,217,0,0,29,76,78,0
2019-06-09,247,0,0,28,86,72,0
2019-06-10,269,0,0,38,83,68,1
2019-06-11,234,0,0,34,75,64,0
2019-06-12,235,0,0,29,79,70,0
2019-06-13,239,0,0,42,81,82,1
2019-06-14,230,0,1,21,80,84,1
2019-06-15,213,0,0,34,96,70,0
2019-06-16,219,0,0,34,100,86,0
2019-06-17,245,0,0,28,99,63,0
2019-06-18,245,0,0,33,78,69,0
2019-06-19,221,0,0,30,67,71,0
2019-06-20,209,0,0,26,98,80,0
2019-06-21,198,0,0,25,76,80,0
