DATA_OBITO,OUTRAS,COVID - PI,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-07-30,19,0,0,1,8,4,0
2019-07-31,8,0,0,4,5,0,0
2019-08-01,10,0,0,1,6,7,0
2019-08-02,22,0,0,4,5,3,0
2019-08-03,11,0,0,2,5,6,0
2019-08-04,18,0,0,4,6,8,0
2019-08-05,11,0,1,4,7,5,0
2019-08-06,14,0,0,4,4,4,0
2019-08-07,15,0,0,2,7,3,0
2019-08-08,19,0,1,6,6,4,0
2019-08-09,16,0,0,2,7,3,0
2019-08-10,18,0,1,6,8,2,0
2019-08-11,23,0,0,6,8,5,0
2019-08-12,25,0,0,5,7,3,0
2019-08-13,17,0,0,5,4,5,0
2019-08-14,22,0,0,6,6,4,0
2019-08-15,19,0,0,3,5,4,0
2019-08-16,8,0,0,6,4,2,1
2019-08-17,24,0,0,3,7,5,0
2019-08-18,18,0,0,4,3,4,0
2019-08-19,20,0,0,0,9,7,0
2019-08-20,19,0,0,2,10,1,0
2019-08-21,17,0,0,5,10,4,0
2019-08-22,22,0,0,3,3,7,0
2019-08-23,15,0,0,4,4,3,0
2019-08-24,16,0,1,4,6,4,0
2019-08-25,23,0,0,6,6,4,0
2019-08-26,12,0,0,5,5,6,0
2019-08-27,21,0,0,4,6,9,0
2019-08-28,24,0,0,3,6,4,0
2019-08-29,19,0,0,1,6,5,0
2019-08-30,13,0,0,8,9,7,0
2019-08-31,18,0,0,2,5,6,0
2019-09-01,19,0,0,5,9,2,0
2019-09-02,25,0,0,1,2,2,0
2019-09-03,18,0,0,5,3,1,0
2019-09-04,12,0,0,6,6,2,1
2019-09-05,12,0,1,2,2,3,0
2019-09-06,21,0,1,3,4,2,0
2019-09-07,14,0,0,5,5,9,0
2019-09-08,24,0,1,7,4,5,0
2019-09-09,14,0,0,4,5,6,0
2019-09-10,22,0,0,5,5,4,0
2019-09-11,22,0,0,7,9,7,1
2019-09-12,14,0,0,6,10,5,0
2019-09-13,15,0,0,4,5,4,0
2019-09-14,24,0,1,6,4,1,0
2019-09-15,21,0,0,9,7,4,0
2019-09-16,20,0,0,11,4,6,0
2019-09-17,15,0,0,2,2,2,0
2019-09-18,20,0,0,3,7,6,0
2019-09-19,24,0,0,3,7,3,1
2019-09-20,19,0,0,4,4,5,0
2019-09-21,12,0,0,7,7,3,0
2019-09-22,14,0,0,8,9,6,0
2019-09-23,25,0,0,7,5,5,0
2019-09-24,27,0,0,6,6,3,0
2019-09-25,15,0,0,10,4,4,0
2019-09-26,8,0,0,9,8,3,0
2019-09-27,20,0,0,1,7,2,0
2019-09-28,17,0,2,10,6,6,1
2019-09-29,18,0,0,9,6,5,0
2019-09-30,7,0,0,3,4,3,0
2019-10-01,20,0,0,2,6,4,0
2019-10-02,19,0,0,7,7,5,0
2019-10-03,20,0,0,8,7,8,1
2019-10-04,18,0,0,6,7,3,0
2019-10-05,12,0,0,2,7,5,0
2019-10-06,18,0,1,3,6,4,0
2019-10-07,16,0,0,8,2,6,0
2019-10-08,15,0,1,4,7,5,0
2019-10-09,13,0,1,10,7,4,0
2019-10-10,27,0,1,4,8,1,0
