DATA_OBITO,OUTRAS,COVID - PB,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-04-14,42,0,1,1,17,10,0
2019-04-15,47,0,0,7,11,8,0
2019-04-16,43,0,0,5,19,12,0
2019-04-17,46,0,1,11,14,12,0
2019-04-18,42,0,0,7,11,15,0
2019-04-19,25,0,0,4,10,7,0
2019-04-20,26,0,0,9,14,12,0
2019-04-21,36,0,0,7,12,20,0
2019-04-22,45,0,1,8,11,13,0
2019-04-23,30,0,0,6,15,12,0
2019-04-24,39,0,0,7,15,8,0
2019-04-25,36,0,1,3,10,8,0
2019-04-26,48,0,0,3,13,13,0
2019-04-27,36,0,0,9,17,8,0
2019-04-28,44,0,1,5,17,19,0
2019-04-29,27,0,1,11,13,9,0
2019-04-30,41,0,1,10,17,10,0
2019-05-01,42,0,0,14,12,13,0
2019-05-02,49,0,0,9,16,14,0
2019-05-03,51,0,1,11,10,14,0
2019-05-04,33,0,0,6,26,9,0
2019-05-05,36,0,1,5,7,10,0
2019-05-06,49,0,0,6,17,7,0
2019-05-07,42,0,0,8,8,12,0
2019-05-08,34,0,1,5,18,7,0
2019-05-09,39,0,0,3,13,12,0
2019-05-10,36,0,0,8,19,14,0
2019-05-11,37,0,0,4,18,6,0
2019-05-12,36,0,0,6,16,9,0
2019-05-13,29,0,0,8,17,19,0
2019-05-14,49,0,0,3,16,17,0
2019-05-15,43,0,0,10,18,16,1
2019-05-16,39,0,0,10,14,14,0
2019-05-17,41,0,2,9,14,6,0
2019-05-18,58,0,0,3,12,7,0
2019-05-19,38,0,0,12,17,9,0
2019-05-20,53,0,0,10,15,17,0
2019-05-21,34,0,1,7,13,10,0
2019-05-22,42,0,0,11,13,16,0
2019-05-23,45,0,0,6,12,11,0
2019-05-24,35,0,0,6,13,15,0
2019-05-25,48,0,0,9,22,8,2
2019-05-26,33,0,3,7,13,15,0
2019-05-27,36,0,0,8,10,10,0
2019-05-28,46,0,0,9,16,8,0
2019-05-29,42,0,0,9,26,10,0
2019-05-30,38,0,0,3,15,8,0
2019-05-31,38,0,0,3,11,11,0
2019-06-01,40,0,0,10,19,12,0
2019-06-02,53,0,0,5,18,9,0
2019-06-03,35,0,0,6,17,11,0
2019-06-04,32,0,0,12,14,7,0
2019-06-05,35,0,1,7,9,8,0
2019-06-06,21,0,1,6,14,11,0
2019-06-07,43,0,1,5,13,13,0
2019-06-08,48,0,0,5,15,15,0
2019-06-09,37,0,0,10,22,6,0
2019-06-10,45,0,0,12,10,13,0
2019-06-11,35,0,2,6,11,8,0
2019-06-12,30,0,0,9,21,5,0
2019-06-13,27,0,0,6,16,7,0
2019-06-14,45,0,0,4,18,13,0
2019-06-15,45,0,0,8,15,9,0
2019-06-16,28,0,0,7,17,10,1
2019-06-17,36,0,1,6,11,12,0
2019-06-18,42,0,0,7,11,9,0
2019-06-19,46,0,1,6,10,11,0
2019-06-20,33,0,0,4,10,6,0
2019-06-21,38,0,0,7,9,9,1
2019-06-22,49,0,0,6,7,9,0
2019-06-23,40,0,0,7,16,7,0
2019-06-24,54,0,0,9,8,9,0
2019-06-25,47,0,0,5,15,13,0
2019-06-26,41,0,0,4,10,5,0
2019-06-27,35,0,0,2,13,9,0
2019-06-28,37,0,0,7,12,12,1
2019-06-29,49,0,0,5,19,6,0
2019-06-30,55,0,0,4,17,10,0
2019-07-01,29,0,0,11,14,13,0
2019-07-02,48,0,0,14,15,9,0
2019-07-03,50,0,2,11,15,9,0
2019-07-04,38,0,1,8,16,13,0
2019-07-05,37,0,0,7,16,11,0
2019-07-06,54,0,0,11,20,15,0
2019-07-07,48,0,0,10,19,9,0
2019-07-08,36,0,1,7,12,7,0
2019-07-09,42,0,1,4,11,9,0
2019-07-10,39,0,0,9,16,12,0
2019-07-11,41,0,0,7,12,12,0
2019-07-12,23,0,0,6,12,7,0
2019-07-13,53,0,0,7,8,15,0
2019-07-14,40,0,0,6,17,10,0
2019-07-15,42,0,0,8,10,10,0
2019-07-16,60,0,1,4,13,6,0
2019-07-17,48,0,0,7,19,8,0
2019-07-18,41,0,0,9,15,12,1
2019-07-19,40,0,1,6,13,12,0
2019-07-20,50,0,0,7,20,10,0
2019-07-21,40,0,1,10,23,6,0
2019-07-22,46,0,0,11,12,7,0
2019-07-23,34,0,2,5,8,12,0
2019-07-24,46,0,0,5,14,11,0
2019-07-25,42,0,0,5,12,15,0
2019-07-26,43,0,0,4,11,13,0
2019-07-27,34,0,1,2,11,13,0
2019-07-28,35,0,0,6,17,12,1
2019-07-29,49,0,2,9,11,14,0
2019-07-30,46,0,0,7,15,9,0
2019-07-31,40,0,0,6,14,9,0
2019-08-01,46,0,2,6,15,14,0
2019-08-02,38,0,1,3,17,16,0
2019-08-03,40,0,0,4,15,14,0
2019-08-04,41,0,0,5,12,14,0
2019-08-05,30,0,1,6,6,12,0
2019-08-06,36,0,0,4,18,8,0
2019-08-07,44,0,1,7,18,7,0
2019-08-08,59,0,0,2,12,7,0
2019-08-09,32,0,0,6,8,17,0
2019-08-10,48,0,0,4,14,6,0
2019-08-11,42,0,0,7,16,12,0
2019-08-12,42,0,0,6,17,8,0
2019-08-13,38,0,0,7,15,10,1
2019-08-14,37,0,1,7,11,4,0
2019-08-15,33,0,0,6,11,10,0
2019-08-16,36,0,0,5,17,6,0
2019-08-17,35,0,0,9,11,10,0
2019-08-18,21,0,1,11,16,8,0
