DATA_OBITO,OUTRAS,COVID - SE,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-06-28,24,0,0,2,5,6,0
2019-06-29,26,0,0,4,8,4,0
2019-06-30,20,0,0,1,2,4,0
2019-07-01,15,0,0,4,3,6,0
2019-07-02,17,0,1,1,6,5,0
2019-07-03,18,0,0,5,5,3,0
2019-07-04,15,0,0,1,8,7,0
2019-07-05,23,0,0,3,9,3,0
2019-07-06,23,0,1,2,6,5,0
2019-07-07,19,0,0,3,5,6,0
2019-07-08,18,0,1,0,3,4,0
2019-07-09,17,0,0,0,9,5,0
2019-07-10,17,0,0,3,4,10,1
2019-07-11,14,0,0,6,8,6,0
2019-07-12,18,0,0,6,5,8,0
2019-07-13,15,0,0,4,5,4,0
2019-07-14,17,0,0,3,6,4,0
2019-07-15,27,0,1,4,8,4,0
2019-07-16,21,0,0,3,8,5,0
2019-07-17,17,0,0,3,4,6,0
2019-07-18,15,0,0,2,12,4,0
2019-07-19,16,0,0,1,7,4,0
2019-07-20,20,0,0,0,7,15,1
2019-07-21,21,0,0,0,7,3,0
2019-07-22,21,0,0,6,5,11,0
2019-07-23,15,0,0,1,2,9,0
2019-07-24,25,0,0,1,12,3,0
2019-07-25,13,0,0,8,2,5,0
2019-07-26,15,0,0,0,5,6,0
2019-07-27,18,0,1,0,4,9,0
2019-07-28,18,0,0,0,4,2,0
2019-07-29,14,0,0,1,4,11,0
2019-07-30,19,0,0,5,7,6,0
2019-07-31,14,0,0,2,5,9,0
2019-08-01,23,0,0,3,2,8,0
2019-08-02,20,0,0,3,10,6,0
2019-08-03,19,0,0,0,6,2,0
2019-08-04,13,0,2,2,1,5,0
2019-08-05,17,0,0,2,4,4,0
2019-08-06,14,0,0,4,7,6,1
2019-08-07,16,0,0,3,3,6,0
2019-08-08,22,0,0,3,4,10,0
2019-08-09,19,0,0,2,5,5,0
2019-08-10,16,0,0,3,8,7,0
2019-08-11,15,0,0,1,1,6,0
2019-08-12,12,0,0,4,5,5,0
2019-08-13,20,0,1,3,5,6,0
2019-08-14,22,0,1,2,4,4,0
2019-08-15,12,0,0,3,3,5,2
2019-08-16,21,0,1,4,5,6,0
2019-08-17,23,0,0,1,2,4,0
2019-08-18,17,0,1,0,5,5,0
2019-08-19,26,0,0,1,5,5,1
2019-08-20,21,0,0,1,6,8,0
2019-08-21,14,0,0,1,3,9,0
2019-08-22,15,0,0,2,6,9,0
2019-08-23,17,0,0,3,3,3,0
2019-08-24,21,0,1,3,2,5,0
2019-08-25,16,0,0,2,3,4,0
2019-08-26,16,0,0,2,4,7,0
2019-08-27,12,0,0,1,7,7,0
2019-08-28,22,0,0,2,10,6,0
2019-08-29,16,0,0,6,4,3,0
2019-08-30,25,0,1,3,4,8,0
2019-08-31,22,0,1,5,5,7,0
2019-09-01,14,0,1,4,4,6,0
2019-09-02,17,0,0,1,3,4,0
2019-09-03,20,0,0,0,3,5,0
2019-09-04,26,0,0,2,3,9,0
2019-09-05,13,0,0,2,2,5,0
2019-09-06,19,0,0,3,5,10,0
2019-09-07,21,0,0,1,5,8,0
2019-09-08,11,0,0,4,4,2,0
2019-09-09,10,0,0,3,4,8,0
2019-09-10,26,0,0,0,7,3,0
2019-09-11,13,0,0,6,1,3,0
2019-09-12,13,0,0,2,4,2,0
2019-09-13,16,0,0,0,4,5,1
2019-09-14,20,0,1,3,2,5,1
2019-09-15,23,0,0,2,8,6,0
2019-09-16,18,0,0,2,3,4,0
2019-09-17,11,0,2,2,6,5,0
2019-09-18,22,0,0,2,5,3,0
2019-09-19,14,0,0,2,5,1,0
2019-09-20,16,0,0,1,2,9,0
2019-09-21,18,0,0,2,4,5,0
2019-09-22,13,0,0,1,3,8,1
2019-09-23,16,0,0,1,4,7,0
2019-09-24,11,0,0,2,2,5,0
2019-09-25,24,0,0,2,3,4,0
2019-09-26,20,0,0,1,2,4,0
2019-09-27,17,0,0,3,3,5,0
2019-09-28,14,0,0,1,3,4,0
2019-09-29,12,0,1,7,5,7,0
2019-09-30,16,0,2,0,3,8,0
2019-10-01,17,0,0,3,13,8,0
2019-10-02,24,0,0,2,2,3,0
2019-10-03,12,0,0,0,2,6,0
2019-10-04,22,0,1,0,2,3,0
2019-10-05,16,0,0,4,5,2,0
2019-10-06,18,0,0,2,8,6,0
2019-10-07,18,0,0,7,4,10,0
2019-10-08,12,0,0,0,3,9,0
2019-10-09,23,0,1,0,3,4,0
2019-10-10,12,0,0,5,3,8,0
