DATA_OBITO,OUTRAS,COVID - PA,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-02-23,29,0,0,2,18,9,0
2019-02-24,45,0,0,7,14,4,0
2019-02-25,36,0,0,5,8,14,0
2019-02-26,38,0,0,4,7,8,0
2019-02-27,39,0,0,9,17,9,0
2019-02-28,35,0,0,6,13,6,0
2019-03-01,41,0,0,4,9,9,1
2019-03-02,36,0,0,7,11,8,0
2019-03-03,36,0,1,7,10,9,0
2019-03-04,36,0,0,5,14,11,0
2019-03-05,35,0,1,5,12,7,0
2019-03-06,25,0,1,6,9,7,0
2019-03-07,31,0,0,5,11,15,0
2019-03-08,40,0,0,6,14,5,0
2019-03-09,34,0,0,7,6,12,0
2019-03-10,44,0,0,3,13,9,0
2019-03-11,30,0,1,9,18,13,0
2019-03-12,28,0,0,8,11,13,0
2019-03-13,36,0,1,12,13,10,1
2019-03-14,34,0,2,8,15,8,0
2019-03-15,36,0,1,8,21,6,0
2019-03-16,36,0,2,11,18,10,0
2019-03-17,52,0,2,13,11,11,1
2019-03-18,38,0,0,16,13,13,0
2019-03-19,43,0,0,8,18,7,0
2019-03-20,27,0,2,9,18,12,0
2019-03-21,50,0,0,8,15,7,0
2019-03-22,40,0,0,6,10,9,0
2019-03-23,43,0,0,11,7,4,0
2019-03-24,44,0,1,9,16,12,0
2019-03-25,37,0,0,10,15,11,0
2019-03-26,46,0,0,13,11,6,0
2019-03-27,49,0,2,6,16,8,0
2019-03-28,39,0,0,4,15,10,0
2019-03-29,42,0,0,9,8,7,1
2019-03-30,33,0,0,11,8,4,0
2019-03-31,38,0,0,8,17,11,0
2019-04-01,42,0,1,7,10,9,0
2019-04-02,30,0,2,6,12,7,0
2019-04-03,44,0,0,6,12,10,0
2019-04-04,44,0,0,6,5,4,0
2019-04-05,36,0,0,5,14,8,0
2019-04-06,28,0,1,3,18,7,1
2019-04-07,38,0,0,3,13,11,0
2019-04-08,42,0,1,7,15,11,0
2019-04-09,34,0,1,4,11,4,1
2019-04-10,36,0,1,9,11,13,0
2019-04-11,46,0,0,10,13,5,0
2019-04-12,39,0,1,4,18,10,1
2019-04-13,52,0,1,5,19,9,0
2019-04-14,53,0,0,11,9,6,0
2019-04-15,43,0,0,10,21,6,0
2019-04-16,48,0,0,11,15,6,0
2019-04-17,50,0,0,9,13,6,0
2019-04-18,33,0,0,7,6,14,0
2019-04-19,31,0,1,4,16,10,0
2019-04-20,35,0,0,5,19,8,1
2019-04-21,34,0,1,6,12,6,0
2019-04-22,37,0,0,2,17,9,0
2019-04-23,33,0,0,11,9,4,0
2019-04-24,31,0,0,11,7,5,0
2019-04-25,25,0,0,7,6,13,0
2019-04-26,38,0,0,7,11,7,0
2019-04-27,35,0,1,7,13,5,0
2019-04-28,30,0,1,6,13,9,0
2019-04-29,34,0,1,8,7,5,0
2019-04-30,31,0,2,10,16,10,0
2019-05-01,44,0,1,6,9,6,0
2019-05-02,39,0,1,10,9,5,0
2019-05-03,41,0,0,6,16,9,0
2019-05-04,50,0,0,14,17,9,0
2019-05-05,37,0,0,11,16,11,0
2019-05-06,33,0,1,8,17,6,0
2019-05-07,38,0,1,8,14,10,0
2019-05-08,39,0,1,13,13,10,1
2019-05-09,39,0,1,8,15,11,0
2019-05-10,35,0,1,2,21,11,0
2019-05-11,55,0,1,9,14,6,0
2019-05-12,49,0,2,14,18,5,0
2019-05-13,37,0,4,11,23,9,0
2019-05-14,43,0,2,6,14,3,0
2019-05-15,43,0,1,5,11,9,0
2019-05-16,40,0,0,6,16,8,0
2019-05-17,28,0,1,4,10,11,0
2019-05-18,40,0,1,6,4,1,0
2019-05-19,21,0,0,9,9,7,0
2019-05-20,33,0,2,8,13,6,0
2019-05-21,26,0,2,12,7,8,0
2019-05-22,35,0,0,9,19,7,0
2019-05-23,29,0,1,10,13,5,0
2019-05-24,32,0,0,2,4,7,1
2019-05-25,33,0,1,10,12,10,0
2019-05-26,36,0,1,7,16,12,0
2019-05-27,41,0,0,0,13,8,0
2019-05-28,31,0,0,1,8,2,0
2019-05-29,38,0,1,10,16,10,0
2019-05-30,41,0,1,7,13,11,0
2019-05-31,51,0,1,5,8,11,1
2019-06-01,43,0,0,3,10,16,0
2019-06-02,33,0,1,8,11,3,0
2019-06-03,39,0,0,3,17,7,0
2019-06-04,27,0,1,3,8,7,0
2019-06-05,26,0,1,7,8,5,0
2019-06-06,24,0,0,5,2,2,0
2019-06-07,43,0,0,8,10,7,0
2019-06-08,39,0,3,8,14,7,0
2019-06-09,23,0,2,5,13,5,1
2019-06-10,31,0,0,10,11,4,0
2019-06-11,22,0,0,6,9,4,0
2019-06-12,23,0,0,3,10,5,1
2019-06-13,21,0,1,5,18,3,0
2019-06-14,39,0,1,9,12,4,0
2019-06-15,27,0,0,6,5,4,0
2019-06-16,29,0,1,2,8,4,0
2019-06-17,31,0,0,10,9,10,0
2019-06-18,32,0,0,7,7,6,0
2019-06-19,40,0,0,10,17,9,0
2019-06-20,38,0,0,12,18,7,0
2019-06-21,34,0,0,11,15,8,0
2019-06-22,28,0,0,10,14,5,0
2019-06-23,36,0,0,6,10,10,0
2019-06-24,36,0,0,4,12,4,0
2019-06-25,31,0,0,8,5,7,0
2019-06-26,21,0,0,3,7,4,0
2019-06-27,34,0,0,4,8,5,0
2019-06-28,31,0,0,6,7,5,0
2019-06-29,24,0,0,8,5,6,0
2019-06-30,27,0,0,5,7,7,0
2019-07-01,36,0,0,6,17,3,0
2019-07-02,26,0,1,6,9,9,0
2019-07-03,28,0,1,8,13,7,0
2019-07-04,28,0,1,4,5,8,1
2019-07-05,38,0,0,8,7,8,1
2019-07-06,41,0,0,4,13,7,0
2019-07-07,43,0,0,9,10,8,0
2019-07-08,27,0,0,12,6,7,0
2019-07-09,46,0,0,8,16,4,0
2019-07-10,32,0,0,5,12,10,1
2019-07-11,44,0,0,5,9,6,0
2019-07-12,46,0,1,9,11,12,1
2019-07-13,40,0,2,4,7,12,0
2019-07-14,40,0,0,6,7,8,0
2019-07-15,28,0,0,4,8,13,0
2019-07-16,32,0,0,5,8,1,0
2019-07-17,24,0,0,6,6,5,0
2019-07-18,34,0,0,8,5,5,0
2019-07-19,30,0,0,4,6,6,0
2019-07-20,25,0,2,5,7,2,0
2019-07-21,41,0,1,9,11,7,0
2019-07-22,33,0,0,6,9,5,0
